id,name,set,rarity,image_url
base3-1,Aerodactyl,Fossil,Rare Holo,151_images\base3\Aerodactyl_base3-1.jpg
base3-2,Articuno,Fossil,Rare Holo,151_images\base3\Articuno_base3-17.jpg
base3-3,Ditto,Fossil,Rare Holo,151_images\base3\Ditto_base3-18.jpg
base3-4,Dragonite,Fossil,Rare Holo,151_images\base3\Dragonite_base3-19.jpg
base3-5,Gengar,Fossil,Rare Holo,151_images\base3\Gengar_base3-20.jpg
base3-6,Haunter,Fossil,Rare Holo,151_images\base3\Haunter_base3-21.jpg
base3-7,Hitmonlee,Fossil,Rare Holo,151_images\base3\Hitmonlee_base3-22.jpg
base3-8,Hypno,Fossil,Rare Holo,151_images\base3\Hypno_base3-23.jpg
base3-9,Kabutops,Fossil,Rare Holo,151_images\base3\Kabutops_base3-24.jpg
base3-10,Lapras,Fossil,Rare Holo,151_images\base3\Lapras_base3-10.jpg
base3-11,Magneton,Fossil,Rare Holo,151_images\base3\Magneton_base3-11.jpg
base3-12,Moltres,Fossil,Rare Holo,151_images\base3\Moltres_base3-12.jpg
base3-13,Muk,Fossil,Rare Holo,151_images\base3\Muk_base3-13.jpg
base3-14,Raichu,Fossil,Rare Holo,151_images\base3\Raichu_base3-14.jpg
base3-15,Zapdos,Fossil,Rare Holo,151_images\base3\Zapdos_base3-15.jpg
base3-16,Aerodactyl,Fossil,Rare,151_images\base3\Aerodactyl_base3-1.jpg
base3-17,Articuno,Fossil,Rare,151_images\base3\Articuno_base3-17.jpg
base3-18,Ditto,Fossil,Rare,151_images\base3\Ditto_base3-18.jpg
base3-19,Dragonite,Fossil,Rare,151_images\base3\Dragonite_base3-19.jpg
base3-20,Gengar,Fossil,Rare,151_images\base3\Gengar_base3-20.jpg
base3-21,Haunter,Fossil,Rare,151_images\base3\Haunter_base3-21.jpg
base3-22,Hitmonlee,Fossil,Rare,151_images\base3\Hitmonlee_base3-22.jpg
base3-23,Hypno,Fossil,Rare,151_images\base3\Hypno_base3-23.jpg
base3-24,Kabutops,Fossil,Rare,151_images\base3\Kabutops_base3-24.jpg
base3-25,Lapras,Fossil,Rare,151_images\base3\Lapras_base3-10.jpg
base3-26,Magneton,Fossil,Rare,151_images\base3\Magneton_base3-11.jpg
base3-27,Moltres,Fossil,Rare,151_images\base3\Moltres_base3-12.jpg
base3-28,Muk,Fossil,Rare,151_images\base3\Muk_base3-13.jpg
base3-29,Raichu,Fossil,Rare,151_images\base3\Raichu_base3-14.jpg
base3-30,Zapdos,Fossil,Rare,151_images\base3\Zapdos_base3-15.jpg
base3-31,Arbok,Fossil,Uncommon,151_images\base3\Arbok_base3-31.jpg
base3-32,Cloyster,Fossil,Uncommon,151_images\base3\Cloyster_base3-32.jpg
base3-33,Gastly,Fossil,Uncommon,151_images\base3\Gastly_base3-33.jpg
base3-34,Golbat,Fossil,Uncommon,151_images\base3\Golbat_base3-34.jpg
base3-35,Golduck,Fossil,Uncommon,151_images\base3\Golduck_base3-35.jpg
base3-36,Golem,Fossil,Uncommon,151_images\base3\Golem_base3-36.jpg
base3-37,Graveler,Fossil,Uncommon,151_images\base3\Graveler_base3-37.jpg
base3-38,Kingler,Fossil,Uncommon,151_images\base3\Kingler_base3-38.jpg
base3-39,Magmar,Fossil,Uncommon,151_images\base3\Magmar_base3-39.jpg
base3-40,Omastar,Fossil,Uncommon,151_images\base3\Omastar_base3-40.jpg
base3-41,Sandslash,Fossil,Uncommon,151_images\base3\Sandslash_base3-41.jpg
base3-42,Seadra,Fossil,Uncommon,151_images\base3\Seadra_base3-42.jpg
base3-43,Slowbro,Fossil,Uncommon,151_images\base3\Slowbro_base3-43.jpg
base3-44,Tentacruel,Fossil,Uncommon,151_images\base3\Tentacruel_base3-44.jpg
base3-45,Weezing,Fossil,Uncommon,151_images\base3\Weezing_base3-45.jpg
base3-46,Ekans,Fossil,Common,151_images\base3\Ekans_base3-46.jpg
base3-47,Geodude,Fossil,Common,151_images\base3\Geodude_base3-47.jpg
base3-48,Grimer,Fossil,Common,151_images\base3\Grimer_base3-48.jpg
base3-49,Horsea,Fossil,Common,151_images\base3\Horsea_base3-49.jpg
base3-50,Kabuto,Fossil,Common,151_images\base3\Kabutops_base3-24.jpg
base3-51,Krabby,Fossil,Common,151_images\base3\Krabby_base3-51.jpg
base3-52,Omanyte,Fossil,Common,151_images\base3\Omanyte_base3-52.jpg
base3-53,Psyduck,Fossil,Common,151_images\base3\Psyduck_base3-53.jpg
base3-54,Shellder,Fossil,Common,151_images\base3\Shellder_base3-54.jpg
base3-55,Slowpoke,Fossil,Common,151_images\base3\Slowpoke_base3-55.jpg
base3-56,Tentacool,Fossil,Common,151_images\base3\Tentacool_base3-56.jpg
base3-57,Zubat,Fossil,Common,151_images\base3\Zubat_base3-57.jpg
base3-58,Mr. Fuji,Fossil,Uncommon,151_images\base3\Mr. Fuji_base3-58.jpg
base3-59,Energy Search,Fossil,Common,151_images\base3\Energy Search_base3-59.jpg
base3-60,Gambler,Fossil,Common,151_images\base3\Gambler_base3-60.jpg
base3-61,Recycle,Fossil,Common,151_images\base3\Recycle_base3-61.jpg
base3-62,Mysterious Fossil,Fossil,Common,151_images\base3\Mysterious Fossil_base3-62.jpg
