id,name,set,rarity,image_url
base2-1,Clefable,Jungle,Rare Holo,151_images\base2\Clefable_base2-1.jpg
base2-2,Electrode,Jungle,Rare Holo,151_images\base2\Electrode_base2-18.jpg
base2-3,Flareon,Jungle,Rare Holo,151_images\base2\Flareon_base2-19.jpg
base2-4,Jolteon,Jungle,Rare Holo,151_images\base2\Jolteon_base2-20.jpg
base2-5,Kangaskhan,Jungle,Rare Holo,151_images\base2\Kangaskhan_base2-21.jpg
base2-6,Mr. Mime,Jungle,Rare Holo,151_images\base2\Mr. Mime_base2-22.jpg
base2-7,Nidoqueen,Jungle,Rare Holo,151_images\base2\Nidoqueen_base2-23.jpg
base2-8,Pidgeot,Jungle,Rare Holo,151_images\base2\Pidgeot_base2-24.jpg
base2-9,Pinsir,Jungle,Rare Holo,151_images\base2\Pinsir_base2-25.jpg
base2-10,Scyther,Jungle,Rare Holo,151_images\base2\Scyther_base2-10.jpg
base2-11,Snorlax,Jungle,Rare Holo,151_images\base2\Snorlax_base2-11.jpg
base2-12,Vaporeon,Jungle,Rare Holo,151_images\base2\Vaporeon_base2-12.jpg
base2-13,Venomoth,Jungle,Rare Holo,151_images\base2\Venomoth_base2-13.jpg
base2-14,Victreebel,Jungle,Rare Holo,151_images\base2\Victreebel_base2-14.jpg
base2-15,Vileplume,Jungle,Rare Holo,151_images\base2\Vileplume_base2-15.jpg
base2-16,Wigglytuff,Jungle,Rare Holo,151_images\base2\Wigglytuff_base2-16.jpg
base2-17,Clefable,Jungle,Rare,151_images\base2\Clefable_base2-1.jpg
base2-18,Electrode,Jungle,Rare,151_images\base2\Electrode_base2-18.jpg
base2-19,Flareon,Jungle,Rare,151_images\base2\Flareon_base2-19.jpg
base2-20,Jolteon,Jungle,Rare,151_images\base2\Jolteon_base2-20.jpg
base2-21,Kangaskhan,Jungle,Rare,151_images\base2\Kangaskhan_base2-21.jpg
base2-22,Mr. Mime,Jungle,Rare,151_images\base2\Mr. Mime_base2-22.jpg
base2-23,Nidoqueen,Jungle,Rare,151_images\base2\Nidoqueen_base2-23.jpg
base2-24,Pidgeot,Jungle,Rare,151_images\base2\Pidgeot_base2-24.jpg
base2-25,Pinsir,Jungle,Rare,151_images\base2\Pinsir_base2-25.jpg
base2-26,Scyther,Jungle,Rare,151_images\base2\Scyther_base2-10.jpg
base2-27,Snorlax,Jungle,Rare,151_images\base2\Snorlax_base2-11.jpg
base2-28,Vaporeon,Jungle,Rare,151_images\base2\Vaporeon_base2-12.jpg
base2-29,Venomoth,Jungle,Rare,151_images\base2\Venomoth_base2-13.jpg
base2-30,Victreebel,Jungle,Rare,151_images\base2\Victreebel_base2-14.jpg
base2-31,Vileplume,Jungle,Rare,151_images\base2\Vileplume_base2-15.jpg
base2-32,Wigglytuff,Jungle,Rare,151_images\base2\Wigglytuff_base2-16.jpg
base2-33,Butterfree,Jungle,Uncommon,151_images\base2\Butterfree_base2-33.jpg
base2-34,Dodrio,Jungle,Uncommon,151_images\base2\Dodrio_base2-34.jpg
base2-35,Exeggutor,Jungle,Uncommon,151_images\base2\Exeggutor_base2-35.jpg
base2-36,Fearow,Jungle,Uncommon,151_images\base2\Fearow_base2-36.jpg
base2-37,Gloom,Jungle,Uncommon,151_images\base2\Gloom_base2-37.jpg
base2-38,Lickitung,Jungle,Uncommon,151_images\base2\Lickitung_base2-38.jpg
base2-39,Marowak,Jungle,Uncommon,151_images\base2\Marowak_base2-39.jpg
base2-40,Nidorina,Jungle,Uncommon,151_images\base2\Nidorina_base2-40.jpg
base2-41,Parasect,Jungle,Uncommon,151_images\base2\Parasect_base2-41.jpg
base2-42,Persian,Jungle,Uncommon,151_images\base2\Persian_base2-42.jpg
base2-43,Primeape,Jungle,Uncommon,151_images\base2\Primeape_base2-43.jpg
base2-44,Rapidash,Jungle,Uncommon,151_images\base2\Rapidash_base2-44.jpg
base2-45,Rhydon,Jungle,Uncommon,151_images\base2\Rhydon_base2-45.jpg
base2-46,Seaking,Jungle,Uncommon,151_images\base2\Seaking_base2-46.jpg
base2-47,Tauros,Jungle,Uncommon,151_images\base2\Tauros_base2-47.jpg
base2-48,Weepinbell,Jungle,Uncommon,151_images\base2\Weepinbell_base2-48.jpg
base2-49,Bellsprout,Jungle,Common,151_images\base2\Bellsprout_base2-49.jpg
base2-50,Cubone,Jungle,Common,151_images\base2\Cubone_base2-50.jpg
base2-51,Eevee,Jungle,Common,151_images\base2\Eevee_base2-51.jpg
base2-52,Exeggcute,Jungle,Common,151_images\base2\Exeggcute_base2-52.jpg
base2-53,Goldeen,Jungle,Common,151_images\base2\Goldeen_base2-53.jpg
base2-54,Jigglypuff,Jungle,Common,151_images\base2\Jigglypuff_base2-54.jpg
base2-55,Mankey,Jungle,Common,151_images\base2\Mankey_base2-55.jpg
base2-56,Meowth,Jungle,Common,151_images\base2\Meowth_base2-56.jpg
base2-57,Nidoran ♀,Jungle,Common,151_images\base2\Nidoran ♀_base2-57.jpg
base2-58,Oddish,Jungle,Common,151_images\base2\Oddish_base2-58.jpg
base2-59,Paras,Jungle,Common,151_images\base2\Parasect_base2-41.jpg
base2-60,Pikachu,Jungle,Common,151_images\base2\Pikachu_base2-60.jpg
base2-61,Rhyhorn,Jungle,Common,151_images\base2\Rhyhorn_base2-61.jpg
base2-62,Spearow,Jungle,Common,151_images\base2\Spearow_base2-62.jpg
base2-63,Venonat,Jungle,Common,151_images\base2\Venonat_base2-63.jpg
base2-64,Poké Ball,Jungle,Common,151_images\base2\Poké Ball_base2-64.jpg
